Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Walking duration (ms),Running duration (ms)
2021-09-07,297,1557.069878566097,15588.199795374065,70.0,70,,,,0.4294768361461841,2.0336854457855225,0.22880437970161438,23229,72.63800048828125,72.63800048828125,72.63800048828125,,,
2021-09-08,186,1560.8799772442158,14140.063998366706,150.0,129,,,,0.5178956801158207,2.670897960662842,0.2605084478855133,19967,71.98300170898438,71.98300170898438,71.98300170898438,,,
2021-09-09,273,1556.698895974784,14840.408298571128,78.0,78,,,,0.48813878719826287,1.591127872467041,0.2411457896232605,21886,71.55899810791016,71.55899810791016,71.55899810791016,,,
2021-09-10,158,1492.1197903874736,12460.196026643942,131.0,131,,,,0.4954619165474439,1.5764625072479248,0.2510583996772766,17516,72.05500030517578,72.05500030517578,72.05500030517578,,,
2021-09-11,304,1555.0499380524113,14505.346955348738,57.0,57,,,,0.5660874352963894,1.542789101600647,0.2510583996772766,21804,72.21099853515625,72.21099853515625,72.21099853515625,,,
2021-09-12,208,1555.1083177935568,13320.065642638132,102.0,100,,,,0.530235991191438,2.2239084243774414,0.24301931262016296,19247,72.14600372314453,72.14600372314453,72.14600372314453,,,
2021-09-13,290,1555.3198927767087,16241.362275296822,90.0,87,,,,0.6375712586464369,2.3281569480895996,0.2510583996772766,23586,71.11499786376953,71.11499786376953,71.11499786376953,,,
2021-09-14,115,1543.8202460862417,8550.102210901678,87.0,87,,,,0.566372599330146,1.5393530130386353,0.24610209465026855,12215,70.63200378417969,70.63200378417969,70.63200378417969,,,
2021-09-15,221,1540.8887126253305,9831.301639340818,17.0,17,,,,0.45317109820943424,1.5996404886245728,0.2510583996772766,15034,70.74600219726562,70.74600219726562,70.74600219726562,,,
2021-09-16,160,1541.69426987995,8895.63995824568,47.0,45,,,,0.502844382037971,2.197784185409546,0.24015536904335022,13393,70.61299896240234,70.61299896240234,70.61299896240234,,,
2021-09-17,122,1542.600195775006,9070.365901418496,95.0,95,,,,0.49122881869923124,1.5178236961364746,0.2510583996772766,13075,71.4260025024414,71.4260025024414,71.4260025024414,,,
2021-09-18,19,1345.2451621430032,762.1766512691975,,,,,,0.38503471912175974,1.3983408212661743,0.24886837601661682,1562,71.21800231933594,71.21800231933594,71.21800231933594,,,
2021-09-19,44,1546.6798705007868,3946.938475161791,39.0,39,,,,0.451297385908275,1.5822746753692627,0.24649012088775635,5631,71.90278345398482,72.08799743652344,71.73100280761719,,,
2021-09-20,71,1546.6798705007868,4813.908435679041,41.0,41,,,,0.3941186120640406,1.5822677612304688,0.24990499019622803,7046,72.49800109863281,72.79100036621094,72.20500183105469,,,
2021-09-21,285,1548.173101654018,15020.952085783007,75.0,74,,,,0.5739970715174909,1.7029112577438354,0.24219487607479095,22465,71.9219970703125,71.9219970703125,71.9219970703125,,,
2021-09-22,130,1552.5102918644482,9300.11055902671,89.0,89,,,,0.4082687429484988,1.5233923196792603,0.24055804312229156,13427,70.83399963378906,70.83399963378906,70.83399963378906,,,
2021-09-23,167,1544.4644872085423,13422.044510072097,139.0,139,,,,0.5298748437800954,1.6073282957077026,0.2510583996772766,18670,71.18800354003906,71.18800354003906,71.18800354003906,,,
2021-09-24,304,1436.2591620075127,14164.584043323528,39.0,39,,,,0.5433726052319058,1.5476465225219727,0.2510583996772766,21662,71.36599731445312,71.36599731445312,71.36599731445312,,,
2021-09-25,91,1548.159859165701,6462.551156748086,60.0,55,,,,0.4356629270418883,2.4656105041503906,0.2510583996772766,9332,71.23400115966797,71.23400115966797,71.23400115966797,,,
2021-09-26,366,1547.9336705466842,18136.911352277268,77.0,77,,,,0.6129350936518477,1.7067787647247314,0.23990263044834137,27267,,,,,,
2021-09-27,171,1550.6964305086328,10676.51409522444,99.0,99,,,,0.599545356888033,1.612886905670166,0.2384975552558899,15563,71.89600372314453,71.89600372314453,71.89600372314453,,,
2021-09-28,73,1451.87075620459,5550.689589731395,55.0,55,,,,0.41779604262341097,1.5005290508270264,0.24611960351467133,8129,71.80899810791016,71.80899810791016,71.80899810791016,,,
2021-09-29,252,,11080.177022812422,25.0,25,,,,0.5647952056830894,1.6484299898147583,0.24657385051250458,17213,71.7750015258789,71.7750015258789,71.7750015258789,,,
2021-09-30,148,,9797.16387747787,94.0,94,,,,0.5930707755432392,1.5495392084121704,0.2510583996772766,14373,71.12000274658203,71.12000274658203,71.12000274658203,,,
2021-10-01,87,1552.5899796470187,5856.256668106653,44.0,44,,,,0.5196446785012916,1.6323895454406738,0.24363897740840912,8932,70.4020004272461,70.4020004272461,70.4020004272461,,,
2021-10-02,75,1551.534667944251,5194.461167898728,44.0,44,,,,0.4032358156799958,1.5069074630737305,0.24331137537956238,7737,71.5250015258789,71.5250015258789,71.5250015258789,,,
2021-10-03,289,1551.1679100492963,15374.337261587381,77.0,68,,,,0.5724163797582276,2.2860357761383057,0.23997172713279724,22882,71.88300323486328,71.88300323486328,71.88300323486328,,,
2021-10-04,101,1456.9908950294996,8438.932625494665,88.0,87,,,,0.44187932849328565,1.670574426651001,0.2510583996772766,11793,71.27100372314453,71.27100372314453,71.27100372314453,,,
2021-10-05,232,1547.210007778839,13835.62553581968,81.0,81,,,,0.5443816762094389,1.5650144815444946,0.24449585378170013,20037,71.34300231933594,71.34300231933594,71.34300231933594,,,
2021-10-06,106,1547.210007778839,8535.42667848058,87.0,87,,,,0.4462262454257588,1.5777521133422852,0.2488389015197754,12028,71.31800079345703,71.31800079345703,71.31800079345703,,,
2021-10-07,89,1547.9848274656033,6848.056584864855,69.0,69,,,,0.4377168284432599,1.789766550064087,0.2500183582305908,9650,71.71600341796875,71.71600341796875,71.71600341796875,,,
2021-10-08,156,1551.4001629086106,9230.024481225759,77.0,62,,,,0.5707062765153057,3.1075851917266846,0.2510583996772766,13268,71.60299682617188,71.60299682617188,71.60299682617188,,,
2021-10-09,134,1550.5300764671167,6323.046170263959,19.0,19,,,,0.4019460170062481,1.5591944456100464,0.2506907284259796,10017,70.53600311279297,70.53600311279297,70.53600311279297,,,
2021-10-10,77,1544.5640249959495,5699.864206385799,56.0,56,,,,0.5104631038367459,1.4396772384643555,0.2510583996772766,8399,,,,,,
2021-10-11,200,1543.4058810717318,15481.07530805096,169.0,169,,,,0.5651182903709742,1.505876898765564,0.2588343918323517,21877,72.73699951171875,73.08999633789062,72.38400268554688,,,
2021-10-12,107,1549.6089660132734,8688.761775408115,95.0,95,,,,0.5340565219596477,1.542724847793579,0.2510583996772766,12236,70.91899871826172,70.91899871826172,70.91899871826172,,,
2021-10-13,156,1541.2060940102538,11994.436151040718,130.0,130,,,,0.5361733570944428,1.5403434038162231,0.24295347929000854,16906,70.54100036621094,70.54100036621094,70.54100036621094,,,
2021-10-14,137,1539.6901458984207,11381.571101875976,120.0,120,,,,0.7016541690299811,1.650093913078308,0.2700860798358917,15855,70.50299835205078,70.50299835205078,70.50299835205078,,,
2021-10-15,196,1539.530072962772,13481.74610113632,126.0,125,,,,0.651604428316569,1.667901635169983,0.2510583996772766,19385,,,,,,
2021-10-16,82,1540.5536969189632,5429.998323339241,45.0,45,,,,0.47747886955512586,1.5525119304656982,0.2489791065454483,7946,70.677001953125,70.677001953125,70.677001953125,,,
2021-10-17,332,1541.2914647321893,17897.63732847199,93.0,93,,,,0.45110440546007796,1.5922247171401978,0.2510583996772766,26745,70.68800354003906,70.68800354003906,70.68800354003906,,,
2021-10-18,112,1541.4986586798732,9417.420232333243,105.0,105,,,,0.4413438024535654,1.5201104879379272,0.24855300784111023,13373,70.70600128173828,70.70600128173828,70.70600128173828,,,
2021-10-19,254,1541.3713894019647,14507.222088574432,82.0,82,,,,0.8010078589861825,1.5739696025848389,0.24915088713169098,21339,70.66100311279297,70.66100311279297,70.66100311279297,,,
2021-10-20,121,1450.7458957648819,8878.423278018832,95.0,95,,,,0.5825071856453706,1.4991451501846313,0.24148590862751007,12746,70.55699920654297,70.55699920654297,70.55699920654297,,,
2021-10-21,113,,9079.186582457274,96.0,96,,,,0.4913094946928549,1.559024691581726,0.24778762459754944,12932,70.64600372314453,70.64600372314453,70.64600372314453,,,
2021-10-22,163,,10549.637193224393,99.0,75,,,,0.5225654024505484,2.7192206382751465,0.23516149818897247,14924,70.79499816894531,70.79499816894531,70.79499816894531,,,
2021-10-23,221,,9629.754453826696,17.0,17,,,,0.5167643398330262,1.6126034259796143,0.24412542581558228,14996,71.02200317382812,71.02200317382812,71.02200317382812,,,
2021-10-24,140,,11051.610331762582,118.0,109,,,,0.538413622929877,2.3423688411712646,0.2510583996772766,15449,71.6449966430664,71.6449966430664,71.6449966430664,,,
2021-10-25,125,,9434.616102449829,93.0,93,,,,0.5717621401190084,1.5426883697509766,0.2510583996772766,13486,71.31800079345703,71.31800079345703,71.31800079345703,,,
2021-10-26,175,,10420.290560442023,68.0,68,,,,0.5093959098848353,1.5933021306991577,0.23671357333660126,15456,70.75199890136719,70.75199890136719,70.75199890136719,,,
2021-10-27,124,1540.0700646200432,8408.407048679888,77.0,74,,,,0.4967838763391369,1.7109191417694092,0.2416321188211441,12380,71.072998046875,71.072998046875,71.072998046875,,,
2021-10-28,224,1543.9392569093498,12608.693442653632,69.0,68,,,,0.5375128428665139,1.966925859451294,0.2510583996772766,18972,71.06199645996094,71.06199645996094,71.06199645996094,,,
2021-10-29,140,1505.5650588006697,7940.4166919998825,58.0,58,,,,0.4659422743703957,1.5298174619674683,0.24818843603134155,11890,70.8239974975586,70.8239974975586,70.8239974975586,,,
2021-10-30,287,,13735.664733426645,41.0,41,,,,0.5403168388217782,1.5499745607376099,0.23844468593597412,21201,70.56700134277344,70.56700134277344,70.56700134277344,,,
2021-10-31,50,,1971.990074228961,2.0,2,,,,0.5091073382463636,1.5415531396865845,0.2510583996772766,3255,70.78700256347656,70.78700256347656,70.78700256347656,,,
2021-11-01,70,1542.7398862488405,5240.986878991127,55.0,55,,,,0.4459945459368289,1.5175409317016602,0.25028860569000244,7666,72.51000213623047,72.51000213623047,72.51000213623047,,,
2021-11-02,74,1544.162819933748,5919.761900186539,64.0,64,,,,0.49641356392973696,1.6058083772659302,0.2510583996772766,8425,71.08599853515625,71.08599853515625,71.08599853515625,,,
2021-11-03,112,1550.4951433937047,7874.903001904488,71.0,71,,,,0.4825846828435627,1.6580240726470947,0.2510583996772766,11384,72.14600372314453,72.14600372314453,72.14600372314453,,,
2021-11-04,97,2249.9255357887187,7925.259298324585,68.0,68,,,,0.6948998279804582,1.6861547231674194,0.2723003029823303,10860,71.0,71.0,71.0,,8280020,1532847
2021-11-05,119,2277.4742767867424,8221.23356461525,68.0,68,,,,0.6577918512467966,1.6326422691345215,0.25226083397865295,11401,,,,,9896760,957121
2021-11-06,89,2218.149437646826,6167.269731998444,40.0,40,,,,0.6091412908834738,1.5937869548797607,0.2763250172138214,8914,,,,,10893941,63767
2021-11-07,218,2502.472585194959,10514.164212346077,22.0,22,,,,0.46846844194953313,1.7767333984375,0.24894309043884277,15564,,,,,16073278,
2021-11-08,113,2520.690555751997,9210.438468694687,87.0,87,,,,0.642331755959618,1.7187374830245972,0.2558199167251587,12156,,,,,10633620,2514270
2021-11-09,217,2483.5149437807922,14086.94393324852,86.0,86,,,,0.5893891181008719,1.8679590225219727,0.25350067019462585,19491,,,,,15165624,249612
2021-11-10,137,2364.1448599189935,11696.998949050903,114.0,114,,,,0.551249900498851,1.7269583940505981,0.24852806329727173,15536,,,,,9737566,1659128
2021-11-11,91,2091.9003217693617,6162.269181251526,46.0,46,,,,0.5360088980935378,1.68558669090271,0.2558199167251587,8611,,,,,8657303,64521
2021-11-12,152,2626.8502088009495,10702.155637145042,91.0,91,,,,0.5988287165753843,1.6535866260528564,0.2558199167251587,14628,,,,,13552597,2060564
